id_cliente,nome_cliente
CLI0087,Gabriela Lima
CLI0020,Gabriela Lima
CLI0127,Olivia Santos
CLI0175,Nuno Fernandes
CLI0089,Ana Silva
CLI0139,Luiz Martins
CLI0181,Sofia Carvalho
CLI0010,Tiago Rodrigues
CLI0160,Kelly Vieira
CLI0059,Gabriela Lima
CLI0075,Maria Ribeiro
CLI0030,Eduarda Souza
CLI0107,Tiago Rodrigues
CLI0114,Isabela Rocha
CLI0159,Joao Pereira
CLI0034,Gabriela Lima
CLI0016,Pedro Almeida
CLI0124,Quiteria Barbosa
CLI0049,Tiago Rodrigues
CLI0183,Gabriela Lima
CLI0029,Nuno Fernandes
CLI0093,Ricardo Teixeira
CLI0051,Hugo Neves
CLI0052,Carla Dias
CLI0002,Ricardo Teixeira
CLI0161,Bruno Costa
CLI0136,Luiz Martins
CLI0032,Eduarda Souza
CLI0070,Sofia Carvalho
CLI0118,Joao Pereira
CLI0128,Maria Ribeiro
CLI0085,Joao Pereira
CLI0170,Maria Ribeiro
CLI0040,Tiago Rodrigues
CLI0077,Daniel Melo
CLI0097,Luiz Martins
CLI0048,Felipe Gomes
CLI0115,Ricardo Teixeira
CLI0199,Quiteria Barbosa
CLI0060,Maria Ribeiro
CLI0196,Daniel Melo
CLI0132,Maria Ribeiro
CLI0055,Joao Pereira
CLI0138,Ana Silva
CLI0149,Carla Dias
CLI0122,Quiteria Barbosa
CLI0100,Bruno Costa
CLI0058,Ana Silva
CLI0071,Daniel Melo
CLI0125,Quiteria Barbosa
CLI0145,Carla Dias
CLI0168,Nuno Fernandes
CLI0126,Kelly Vieira
CLI0130,Hugo Neves
CLI0062,Gabriela Lima
CLI0116,Daniel Melo
CLI0147,Joao Pereira
CLI0019,Olivia Santos
CLI0150,Hugo Neves
CLI0036,Carla Dias
CLI0027,Kelly Vieira
CLI0108,Bruno Costa
CLI0195,Joao Pereira
CLI0167,Luiz Martins
CLI0165,Joao Pereira
CLI0162,Felipe Gomes
CLI0068,Nuno Fernandes
CLI0024,Olivia Santos
CLI0193,Sofia Carvalho
CLI0194,Isabela Rocha
CLI0173,Hugo Neves
CLI0074,Ricardo Teixeira
CLI0003,Felipe Gomes
CLI0091,Bruno Costa
CLI0135,Nuno Fernandes
CLI0117,Daniel Melo
CLI0189,Nuno Fernandes
CLI0022,Pedro Almeida
CLI0047,Tiago Rodrigues
CLI0006,Nuno Fernandes
CLI0177,Felipe Gomes
CLI0113,Kelly Vieira
CLI0184,Eduarda Souza
CLI0045,Bruno Costa
CLI0013,Eduarda Souza
CLI0182,Daniel Melo
CLI0061,Pedro Almeida
CLI0082,Olivia Santos
CLI0028,Hugo Neves
CLI0190,Ana Silva
CLI0099,Tiago Rodrigues
CLI0178,Kelly Vieira
CLI0084,Eduarda Souza
CLI0031,Ana Silva
CLI0083,Quiteria Barbosa
CLI0098,Daniel Melo
CLI0191,Bruno Costa
CLI0007,Sofia Carvalho
CLI0172,Eduarda Souza
CLI0109,Bruno Costa
CLI0072,Olivia Santos
CLI0080,Isabela Rocha
CLI0038,Pedro Almeida
CLI0025,Ana Silva
CLI0133,Joao Pereira
CLI0129,Olivia Santos
CLI0120,Sofia Carvalho
CLI0005,Quiteria Barbosa
CLI0158,Eduarda Souza
CLI0026,Isabela Rocha
CLI0014,Ricardo Teixeira
CLI0154,Bruno Costa
CLI0042,Isabela Rocha
CLI0044,Isabela Rocha
CLI0174,Sofia Carvalho
CLI0066,Isabela Rocha
CLI0001,Olivia Santos
CLI0035,Ricardo Teixeira
CLI0065,Nuno Fernandes
CLI0011,Eduarda Souza
CLI0106,Kelly Vieira
CLI0096,Ricardo Teixeira
CLI0156,Felipe Gomes
CLI0103,Olivia Santos
CLI0101,Ricardo Teixeira
CLI0009,Hugo Neves
CLI0157,Felipe Gomes
CLI0105,Luiz Martins
CLI0092,Nuno Fernandes
CLI0081,Ricardo Teixeira
CLI0015,Pedro Almeida
CLI0017,Pedro Almeida
CLI0056,Daniel Melo
CLI0110,Tiago Rodrigues
CLI0141,Sofia Carvalho
CLI0171,Ana Silva
CLI0131,Hugo Neves
CLI0046,Pedro Almeida
CLI0086,Kelly Vieira
CLI0134,Isabela Rocha
CLI0185,Olivia Santos
CLI0148,Ana Silva
CLI0163,Carla Dias
CLI0112,Kelly Vieira
CLI0151,Eduarda Souza
CLI0121,Kelly Vieira
CLI0043,Gabriela Lima
CLI0153,Eduarda Souza
CLI0164,Luiz Martins
CLI0123,Maria Ribeiro
CLI0186,Carla Dias
CLI0166,Gabriela Lima
CLI0054,Felipe Gomes
CLI0037,Bruno Costa
CLI0069,Quiteria Barbosa
CLI0023,Joao Pereira
CLI0057,Maria Ribeiro
CLI0004,Olivia Santos
CLI0142,Pedro Almeida
CLI0018,Bruno Costa
CLI0169,Gabriela Lima
CLI0063,Bruno Costa
CLI0067,Luiz Martins
CLI0102,Tiago Rodrigues
CLI0146,Quiteria Barbosa
CLI0155,Gabriela Lima
CLI0152,Felipe Gomes
CLI0090,Ana Silva
CLI0012,Hugo Neves
CLI0111,Joao Pereira
CLI0180,Maria Ribeiro
CLI0021,Olivia Santos
CLI0143,Daniel Melo
CLI0050,Hugo Neves
CLI0088,Ana Silva
CLI0140,Pedro Almeida
CLI0079,Pedro Almeida
CLI0188,Kelly Vieira
CLI0076,Carla Dias
CLI0073,Carla Dias
CLI0008,Daniel Melo
CLI0033,Nuno Fernandes
CLI0094,Daniel Melo
CLI0197,Tiago Rodrigues
CLI0187,Kelly Vieira
CLI0104,Isabela Rocha
CLI0198,Ricardo Teixeira
CLI0095,Felipe Gomes
CLI0039,Maria Ribeiro
CLI0179,Hugo Neves
CLI0078,Quiteria Barbosa
CLI0200,Tiago Rodrigues
CLI0053,Eduarda Souza
CLI0137,Sofia Carvalho
CLI0064,Hugo Neves
CLI0041,Luiz Martins
CLI0144,Ana Silva
CLI0176,Quiteria Barbosa
CLI0192,Gabriela Lima
