id_cliente,nome_cliente,data_servico,veiculo_marca,veiculo_modelo,ano_veiculo,tipo_servico,valor_servico,status_pagamento,satisfacao_cliente
CLI0001,Daniel Silva,2022-09-30,Toyota,Yaris,2013,Pneus,252.33,Pago,5
CLI0001,Daniel Silva,2022-09-05,Kia,Seltos,2010,Troca de Óleo,185.86,Pago,5
CLI0001,Daniel Silva,2022-07-05,Hyundai,Creta,2021,Pintura,658.3,Pago,3
CLI0001,Daniel Silva,2022-06-14,Ford,EcoSport,2015,Alinhamento,275.45,Pendente,3
CLI0001,Daniel Silva,2022-09-20,Honda,Fit,2011,Motor,1278.87,Pago,1
CLI0001,Daniel Silva,2023-09-21,Hyundai,HB20,2016,Revisão,850.46,Pago,5
CLI0001,Daniel Silva,2023-06-13,Kia,Cerato,2021,Revisão,116.45,Pago,3
CLI0001,Daniel Silva,2022-08-28,Chevrolet,Onix,2016,Alinhamento,707.44,Pago,2
CLI0001,Daniel Silva,2023-06-22,BMW,Série 3,2020,Alinhamento,1067.64,Pago,1
CLI0001,Daniel Silva,2024-02-21,Ford,Ranger,2012,Elétrica,600.21,Pendente,5
CLI0001,Daniel Silva,2023-01-18,BMW,X1,2013,Troca de Óleo,1217.32,Pago,1
CLI0002,Isabela Lima,2024-04-02,BMW,Série 3,2020,Elétrica,623.67,Pendente,4
CLI0002,Isabela Lima,2023-01-24,Volkswagen,Polo,2013,Pintura,831.52,Pago,4
CLI0002,Isabela Lima,2024-04-19,Mercedes-Benz,Classe A,2013,Freios,788.81,Pago,1
CLI0002,Isabela Lima,2022-12-21,Ford,Ranger,2022,Suspensão,914.79,Pago,5
CLI0003,Hugo Rodrigues,2023-12-09,Volkswagen,Gol,2020,Revisão,1038.48,Pago,3
CLI0003,Hugo Rodrigues,2024-04-02,BMW,X1,2014,Suspensão,279.33,Pago,3
CLI0003,Hugo Rodrigues,2023-11-10,Ford,Focus,2023,Alinhamento,1270.42,Pago,2
CLI0003,Hugo Rodrigues,2022-11-19,BMW,Série 3,2018,Pintura,1381.82,Pago,4
CLI0003,Hugo Rodrigues,2022-07-05,Honda,CR-V,2023,Alinhamento,397.21,Pago,5
CLI0003,Hugo Rodrigues,2022-09-04,Honda,Fit,2023,Revisão,1468.08,Pago,2
